element,species,degeneracy,energy_ev
Al,2,9,17.99
Al,2,1,18
Al,2,3,18
Al,2,5,18
Al,2,1,18.07
Al,2,3,18.08
Al,2,5,18.1
Al,2,3,18.12
Al,2,3,18.13
Al,2,5,18.13
Al,2,7,18.13
Al,2,1,18.13
Al,2,5,18.14
Al,2,7,18.14
Al,2,3,18.14
Al,2,7,18.15
Al,2,11,18.15
Al,2,9,18.15
Al,2,9,18.15
Al,2,11,18.16
Al,2,11,18.16
Al,2,9,18.16
Al,2,13,18.16
Al,2,5,18.16
Al,2,7,18.16
Al,2,9,18.16
Al,2,1,18.18
Al,2,3,18.18
Al,2,5,18.18
Al,2,3,18.25
Al,2,3,18.26
Al,2,5,18.26
Al,2,7,18.26
Al,2,3,18.26
Al,2,1,18.26
Al,2,5,18.27
Al,2,7,18.27
Al,2,9,18.28
Al,2,7,18.28
Al,2,11,18.28
Al,2,9,18.28
Al,2,9,18.28
Al,2,13,18.28
Al,2,11,18.28
Al,2,11,18.28
Al,2,5,18.29
Al,2,7,18.29
Al,2,9,18.29
Al,2,5,18.3
Al,2,3,18.35
Al,2,3,18.36
Al,2,7,18.36
Al,2,1,18.36
Al,2,5,18.37
Al,2,7,18.37
Al,2,7,18.38
Al,2,11,18.38
Al,2,9,18.38
Al,2,9,18.38
Al,2,5,18.38
Al,2,7,18.38
Al,2,9,18.38
Al,2,3,18.42
Al,2,3,18.43
Al,2,1,18.44
Al,2,7,18.44
Al,2,9,18.45
Al,2,7,18.45
Al,2,11,18.45
Al,2,9,18.45
Al,2,5,18.45
Al,2,9,18.45
Al,2,7,18.45
Al,2,3,18.48
Al,2,1,18.5
Al,2,7,18.5
Al,2,9,18.51
Al,2,7,18.51
Al,2,11,18.51
Al,2,9,18.51
Al,2,9,18.51
Al,2,7,18.51
Al,2,5,18.51
Al,2,3,18.53
Al,2,1,18.54
Al,2,7,18.54
Al,2,9,18.55
Al,2,7,18.55
Al,2,5,18.55
Al,2,3,18.57
Al,2,1,18.58
Al,2,7,18.58
Al,2,9,18.59
Al,2,3,18.6
Al,2,7,18.61
Al,2,5,18.62
Al,2,9,18.62
Al,2,7,18.62
Al,2,7,18.64
Al,2,7,18.64
Al,2,9,18.64
Al,2,5,18.64
Al,2,7,18.66
Al,2,3,18.66
Al,2,5,18.66
Al,2,7,18.67
Al,2,7,18.68
Al,2,7,18.69
Al,3,2,0
Al,3,2,6.66
Al,3,4,6.68
Al,3,6,14.38
Al,3,4,14.38
Al,3,2,15.64
Al,3,2,17.81
Al,3,4,17.82
Al,3,6,20.55
Al,3,4,20.56
Al,3,6,20.78
Al,3,8,20.78
Al,3,2,21.16
Al,3,2,22.12
Al,3,4,22.13
Al,3,6,23.42
Al,3,4,23.42
Al,3,6,23.54
Al,3,8,23.54
Al,3,8,23.55
Al,3,10,23.55
Al,3,2,23.74
Al,3,2,24.25
Al,3,4,24.26
Al,3,6,24.97
Al,3,4,24.97
Al,3,6,25.04
Al,3,8,25.04
Al,3,10,25.05
Al,3,8,25.05
Al,3,12,25.05
Al,3,10,25.05
Al,3,2,25.16
Al,3,2,25.46
Al,3,4,25.46
Al,3,6,25.9
Al,3,4,25.9
Al,3,6,25.95
Al,3,8,25.95
Al,3,8,25.95
Al,3,10,25.95
Al,3,12,25.95
Al,3,10,25.95
Al,3,2,26.02
Al,3,6,26.5
Al,3,4,26.5
Al,3,8,26.53
Al,3,6,26.53
Al,3,8,26.53
Al,3,10,26.53
Al,3,12,26.53
